Reading in freezeout surface in CCAKE boost invariant format
u1.56108 1.1986 0.0174301
dat: -4.34682 9.67553 10.6383
u_dot_n: 4.99684
m_over_sigma: 0.00719784
Finished reading surface
Surface data read successfully.
Number of points: 136867

There are 328 mesons, 325 baryons and 325 antibaryons

Particle list read successfully.
Number of particles: 978
Sampling particles...
Progress: 0%
Progress: 0% completed
mbar: 0.922008, omega: 0.0253561, max_w: 1.02478
mbar: 0.921099, omega: 0.0328873, max_w: 1.03253
mbar: 0.920518, omega: 0.0510679, max_w: 1.05148
mbar: 0.919109, omega: 0.00193812, max_w: 1.00107
mbar: 0.919109, omega: 0.00193812, max_w: 1.00107
mbar: 0.921297, omega: 0.00537235, max_w: 1.00451
mbar: 0.921294, omega: 0.201337, max_w: 1.25632
mbar: 0.921923, omega: 0.00718598, max_w: 1.00633
mbar: 0.920518, omega: 0.00969542, max_w: 1.00886
mbar: 0.918439, omega: 0.00627782, max_w: 1.00542
mbar: 0.918358, omega: 0.00823762, max_w: 1.0074
mbar: 0.919188, omega: 0.00712537, max_w: 1.00628
mbar: 0.919531, omega: 0.0070519, max_w: 1.0062
mbar: 0.921374, omega: 0.00253202, max_w: 1.00166
mbar: 0.920771, omega: 0.0202045, max_w: 1.01952
mbar: 0.919404, omega: 0.00349417, max_w: 1.00263
mbar: 0.920508, omega: 0.018373, max_w: 1.01765
mbar: 0.918661, omega: 0.0226854, max_w: 1.02206
mbar: 0.919773, omega: 0.00137761, max_w: 1.00051
mbar: 0.922395, omega: 0.00203115, max_w: 1.00116
mbar: 0.919915, omega: 0.0024506, max_w: 1.00158
mbar: 0.92459, omega: 0.154107, max_w: 1.17068
mbar: 0.921776, omega: 0.054333, max_w: 1.05491
mbar: 0.92041, omega: 0.00700498, max_w: 1.00615
mbar: 0.919898, omega: 0.00531689, max_w: 1.00446
mbar: 0.919898, omega: 0.00531689, max_w: 1.00446
mbar: 0.919815, omega: 0.0123554, max_w: 1.01155
mbar: 0.919491, omega: 0.015102, max_w: 1.01434
mbar: 0.918786, omega: 0.00191021, max_w: 1.00104
mbar: 0.922076, omega: 0.00724462, max_w: 1.00639
mbar: 0.921891, omega: 0.0190801, max_w: 1.01837
mbar: 0.921022, omega: 0.0211058, max_w: 1.02044
mbar: 0.921456, omega: 0.205691, max_w: 1.26501
mbar: 0.92337, omega: 0.107346, max_w: 1.11234
mbar: 0.922896, omega: 0.0869764, max_w: 1.08992
mbar: 0.919091, omega: 0.0171308, max_w: 1.01639
mbar: 0.919038, omega: 0.0532253, max_w: 1.05375
mbar: 0.921783, omega: 0.00470272, max_w: 1.00384
mbar: 0.920723, omega: 0.00202084, max_w: 1.00115
mbar: 0.919041, omega: 0.00386663, max_w: 1.003
mbar: 0.919538, omega: 0.0187982, max_w: 1.01809
mbar: 0.918818, omega: 0.0199256, max_w: 1.01924
mbar: 0.922341, omega: 0.0205303, max_w: 1.01985
mbar: 0.921656, omega: 0.0218853, max_w: 1.02123
mbar: 0.920348, omega: 0.0384817, max_w: 1.03833
mbar: 0.733129, omega: 0.0336391, max_w: 1.21875
mbar: 0.921537, omega: 0.205674, max_w: 1.26485
mbar: 0.92357, omega: 0.154813, max_w: 1.17222
mbar: 0.919217, omega: 0.0188987, max_w: 1.01819
mbar: 0.922695, omega: 0.10271, max_w: 1.1072
mbar: 0.91962, omega: 0.0264054, max_w: 1.02587
mbar: 0.920187, omega: 0.00887036, max_w: 1.00803
mbar: 0.92136, omega: 0.00444166, max_w: 1.00358
mbar: 0.922952, omega: 0.0042124, max_w: 1.00334
mbar: 0.922042, omega: 0.0327429, max_w: 1.03238
mbar: 0.92045, omega: 0.00536804, max_w: 1.00451
mbar: 0.92004, omega: 0.0165728, max_w: 1.01583
mbar: 0.922439, omega: 0.181909, max_w: 1.2164
mbar: 0.921206, omega: 0.015663, max_w: 1.0149
mbar: 0.919249, omega: 0.0048635, max_w: 1.004
mbar: 0.921231, omega: 0.0282604, max_w: 1.02777
mbar: 0.919502, omega: 0.0681204, max_w: 1.06957
mbar: 0.922074, omega: 0.0169091, max_w: 1.01616
mbar: 0.921867, omega: 0.00188572, max_w: 1.00101
mbar: 0.920011, omega: 0.0192698, max_w: 1.01857
mbar: 0.920116, omega: 0.0292414, max_w: 1.02878
mbar: 0.919587, omega: 0.00158846, max_w: 1.00072
mbar: 0.922242, omega: 0.0354012, max_w: 1.03513
mbar: 0.919519, omega: 0.0240663, max_w: 1.02346
mbar: 0.921301, omega: 0.00541147, max_w: 1.00455
mbar: 0.919487, omega: 0.00486895, max_w: 1.00401
mbar: 0.919951, omega: 0.00683164, max_w: 1.00598
mbar: 0.919951, omega: 0.00683164, max_w: 1.00598
mbar: 0.921292, omega: 0.064511, max_w: 1.06571
mbar: 0.92035, omega: 0.00234568, max_w: 1.00148
mbar: 0.920283, omega: 0.00313943, max_w: 1.00227
mbar: 0.920567, omega: 0.00495319, max_w: 1.00409
mbar: 0.920217, omega: 0.00658135, max_w: 1.00573
mbar: 0.920875, omega: 0.00169416, max_w: 1.00082
mbar: 0.922479, omega: 0.0426457, max_w: 1.04265
mbar: 0.919298, omega: 0.00519764, max_w: 1.00434
mbar: 0.921867, omega: 0.00210184, max_w: 1.00123
mbar: 0.921098, omega: 0.00682327, max_w: 1.00597
mbar: 0.921821, omega: 0.00789264, max_w: 1.00704
mbar: 0.921077, omega: 0.109246, max_w: 1.11446
mbar: 0.92062, omega: 0.0017839, max_w: 1.00091
mbar: 0.919667, omega: 0.0233772, max_w: 1.02276
mbar: 0.92102, omega: 0.0171992, max_w: 1.01646
mbar: 0.92112, omega: 0.00728028, max_w: 1.00643
mbar: 0.918804, omega: 0.0135207, max_w: 1.01273
mbar: 0.924523, omega: 0.0491865, max_w: 1.04949
mbar: 0.919489, omega: 0.034012, max_w: 1.0337
mbar: 0.921829, omega: 0.0545228, max_w: 1.05511
mbar: 0.922593, omega: 0.0684954, max_w: 1.06996
mbar: 0.92025, omega: 0.0665246, max_w: 1.06786
mbar: 0.922994, omega: 0.00180965, max_w: 1.00093
mbar: 0.918661, omega: 0.00389668, max_w: 1.00303
mbar: 0.918866, omega: 0.0218239, max_w: 1.02118
mbar: 0.921014, omega: 0.0169299, max_w: 1.01619
mbar: 0.920137, omega: 0.00197227, max_w: 1.0011
mbar: 0.918671, omega: 0.0331841, max_w: 1.03285
mbar: 0.920014, omega: 0.0705638, max_w: 1.07218
mbar: 0.920557, omega: 0.0632765, max_w: 1.0644
mbar: 0.920406, omega: 0.00163981, max_w: 1.00077
mbar: 0.919101, omega: 0.00135628, max_w: 1.00049
mbar: 0.920509, omega: 0.0117015, max_w: 1.01089
