Reading in freezeout surface in CCAKE boost invariant format
u1.56108 1.1986 0.0174301
dat: -4.34682 9.67553 10.6383
u_dot_n: 4.99684
m_over_sigma: 0.00719784
Finished reading surface
Surface data read successfully.
Number of points: 136867

There are 328 mesons, 325 baryons and 325 antibaryons

Particle list read successfully.
Number of particles: 978
Sampling particles...
Progress: 0%
Progress: 0% completed
mbar: 0.920642, omega: 0.00449654, max_w: 1.00363
mbar: 0.919747, omega: 0.00456835, max_w: 1.00371
mbar: 0.919857, omega: 0.00831547, max_w: 1.00747
mbar: 0.920246, omega: 0.0132009, max_w: 1.01241
mbar: 0.921887, omega: 0.00167316, max_w: 1.0008
mbar: 0.920194, omega: 0.00891026, max_w: 1.00807
mbar: 0.920194, omega: 0.00891026, max_w: 1.00807
mbar: 0.918872, omega: 0.0110719, max_w: 1.01026
mbar: 0.920903, omega: 0.0440804, max_w: 1.04416
mbar: 0.921498, omega: 0.0458418, max_w: 1.046
mbar: 0.920656, omega: 0.00933437, max_w: 1.0085
mbar: 0.92206, omega: 0.210203, max_w: 1.27336
mbar: 0.918114, omega: 0.0067843, max_w: 1.00593
mbar: 0.917761, omega: 0.020747, max_w: 1.02008
mbar: 0.922008, omega: 0.0253561, max_w: 1.02478
mbar: 0.921297, omega: 0.00537235, max_w: 1.00451
mbar: 0.921297, omega: 0.00537235, max_w: 1.00451
mbar: 0.920534, omega: 0.150571, max_w: 1.16683
mbar: 0.921136, omega: 0.00545593, max_w: 1.00459
mbar: 0.919188, omega: 0.00712537, max_w: 1.00628
mbar: 0.921374, omega: 0.00253202, max_w: 1.00166
mbar: 0.919458, omega: 0.0117295, max_w: 1.01092
mbar: 0.92165, omega: 0.0140731, max_w: 1.01329
mbar: 0.919929, omega: 0.0156982, max_w: 1.01494
mbar: 0.918333, omega: 0.00198718, max_w: 1.00112
mbar: 0.918494, omega: 0.00177093, max_w: 1.0009
mbar: 0.919584, omega: 0.000884579, max_w: 1.00001
mbar: 0.920902, omega: 0.00592531, max_w: 1.00506
mbar: 0.92014, omega: 0.0193368, max_w: 1.01864
mbar: 0.921152, omega: 0.0044502, max_w: 1.00358
mbar: 0.918114, omega: 0.0104269, max_w: 1.00961
mbar: 0.920932, omega: 0.055414, max_w: 1.05606
mbar: 0.919299, omega: 0.00767973, max_w: 1.00683
mbar: 0.919691, omega: 0.0104759, max_w: 1.00965
mbar: 0.922558, omega: 0.0860148, max_w: 1.08887
mbar: 0.922414, omega: 0.0240926, max_w: 1.02349
mbar: 0.918898, omega: 0.0221304, max_w: 1.02149
mbar: 0.920023, omega: 0.0252204, max_w: 1.02465
mbar: 0.921886, omega: 0.0530487, max_w: 1.05356
mbar: 0.919418, omega: 0.00313449, max_w: 1.00227
mbar: 0.920719, omega: 0.0944272, max_w: 1.09807
mbar: 0.920926, omega: 0.0409233, max_w: 1.04086
mbar: 0.922909, omega: 0.0441354, max_w: 1.04421
mbar: 0.922655, omega: 0.0244948, max_w: 1.0239
mbar: 0.919569, omega: 0.048011, max_w: 1.04827
mbar: 0.919611, omega: 0.00959754, max_w: 1.00877
mbar: 0.921783, omega: 0.00470272, max_w: 1.00384
mbar: 0.921425, omega: 0.0234989, max_w: 1.02288
mbar: 0.921929, omega: 0.027487, max_w: 1.02697
mbar: 0.922436, omega: 0.0186093, max_w: 1.01789
mbar: 0.920348, omega: 0.0384817, max_w: 1.03833
mbar: 0.919677, omega: 0.000917998, max_w: 1.00005
mbar: 0.921209, omega: 0.00517372, max_w: 1.00431
mbar: 0.921676, omega: 0.00319571, max_w: 1.00233
mbar: 0.920101, omega: 0.0106839, max_w: 1.00986
mbar: 0.920336, omega: 0.0291029, max_w: 1.02863
mbar: 0.920336, omega: 0.0291029, max_w: 1.02863
mbar: 0.920985, omega: 0.0517084, max_w: 1.05215
mbar: 0.919218, omega: 0.0282502, max_w: 1.02776
mbar: 0.920778, omega: 0.00402245, max_w: 1.00316
mbar: 0.920778, omega: 0.00402245, max_w: 1.00316
mbar: 0.922101, omega: 0.018216, max_w: 1.01749
mbar: 0.922101, omega: 0.018216, max_w: 1.01749
mbar: 0.921848, omega: 0.0323099, max_w: 1.03194
mbar: 0.919264, omega: 0.00135925, max_w: 1.00049
mbar: 0.91901, omega: 0.00553733, max_w: 1.00468
mbar: 0.921996, omega: 0.0265993, max_w: 1.02606
mbar: 0.919105, omega: 0.0273408, max_w: 1.02683
mbar: 0.919814, omega: 0.0302298, max_w: 1.02979
mbar: 0.919407, omega: 0.0548905, max_w: 1.05551
mbar: 0.920131, omega: 0.0119899, max_w: 1.01118
mbar: 0.92262, omega: 0.188022, max_w: 1.22765
mbar: 0.920267, omega: 0.00806247, max_w: 1.00722
mbar: 0.919249, omega: 0.0048635, max_w: 1.004
mbar: 0.920147, omega: 0.00342918, max_w: 1.00256
mbar: 0.919802, omega: 0.011711, max_w: 1.0109
mbar: 0.922496, omega: 0.0418717, max_w: 1.04185
mbar: 0.923212, omega: 0.0364093, max_w: 1.03617
mbar: 0.920428, omega: 0.0241631, max_w: 1.02356
mbar: 0.921414, omega: 0.0326996, max_w: 1.03234
mbar: 0.920545, omega: 0.0116535, max_w: 1.01084
mbar: 0.91848, omega: 0.0015073, max_w: 1.00064
mbar: 0.919483, omega: 0.00533314, max_w: 1.00447
mbar: 0.920011, omega: 0.0192698, max_w: 1.01857
mbar: 0.920011, omega: 0.0192698, max_w: 1.01857
mbar: 0.920693, omega: 0.0206615, max_w: 1.01999
mbar: 0.919044, omega: 0.00405119, max_w: 1.00319
mbar: 0.919935, omega: 0.00435506, max_w: 1.00349
mbar: 0.921094, omega: 0.0109508, max_w: 1.01013
mbar: 0.921564, omega: 0.0195974, max_w: 1.0189
mbar: 0.920394, omega: 0.00613687, max_w: 1.00528
mbar: 0.922242, omega: 0.0354012, max_w: 1.03513
mbar: 0.920833, omega: 0.00270203, max_w: 1.00183
mbar: 0.920514, omega: 0.0211649, max_w: 1.0205
mbar: 0.918594, omega: 0.0322013, max_w: 1.03183
mbar: 0.918844, omega: 0.0230312, max_w: 1.02241
mbar: 0.920701, omega: 0.00124835, max_w: 1.00038
mbar: 0.919834, omega: 0.00229084, max_w: 1.00142
mbar: 0.924057, omega: 0.0396776, max_w: 1.03956
mbar: 0.918967, omega: 0.0316066, max_w: 1.03122
mbar: 0.920628, omega: 0.0562818, max_w: 1.05698
mbar: 0.920755, omega: 0.00561871, max_w: 1.00476
mbar: 0.921103, omega: 0.0155197, max_w: 1.01476
mbar: 0.920091, omega: 0.00382452, max_w: 1.00296
mbar: 0.918574, omega: 0.00609762, max_w: 1.00524
mbar: 0.92042, omega: 0.0192642, max_w: 1.01856
mbar: 0.919264, omega: 0.0296646, max_w: 1.02921
mbar: 0.920826, omega: 0.0154969, max_w: 1.01473
mbar: 0.92122, omega: 0.00896246, max_w: 1.00812
mbar: 0.921409, omega: 0.00427124, max_w: 1.0034
mbar: 0.920728, omega: 0.00439169, max_w: 1.00353
mbar: 0.923172, omega: 0.0565294, max_w: 1.05723
mbar: 0.919452, omega: 0.0163703, max_w: 1.01562
mbar: 0.92112, omega: 0.00728028, max_w: 1.00643
mbar: 0.921527, omega: 0.0136994, max_w: 1.01291
mbar: 0.919218, omega: 0.00939584, max_w: 1.00857
mbar: 0.920656, omega: 0.0168796, max_w: 1.01614
mbar: 0.919489, omega: 0.034012, max_w: 1.0337
mbar: 0.919797, omega: 0.0518018, max_w: 1.05225
mbar: 0.923044, omega: 0.065554, max_w: 1.06681
mbar: 0.919922, omega: 0.0574974, max_w: 1.05826
mbar: 0.919171, omega: 0.00831144, max_w: 1.00747
mbar: 0.921107, omega: 0.00750825, max_w: 1.00666
mbar: 0.919991, omega: 0.00334955, max_w: 1.00248
mbar: 0.920631, omega: 0.0142039, max_w: 1.01342
mbar: 0.920631, omega: 0.0142039, max_w: 1.01342
mbar: 0.920767, omega: 0.0283944, max_w: 1.02791
mbar: 0.921428, omega: 0.00473596, max_w: 1.00387
mbar: 0.919446, omega: 0.00524791, max_w: 1.00439
mbar: 0.92033, omega: 0.00374891, max_w: 1.00288
mbar: 0.922153, omega: 0.0197272, max_w: 1.01903
mbar: 0.918956, omega: 0.00852191, max_w: 1.00768
mbar: 0.918741, omega: 0.00244906, max_w: 1.00158
mbar: 0.921081, omega: 0.0215906, max_w: 1.02094
mbar: 0.922841, omega: 0.0353356, max_w: 1.03506
mbar: 0.919838, omega: 0.0278207, max_w: 1.02732
mbar: 0.91948, omega: 0.0487183, max_w: 1.04901
mbar: 0.91948, omega: 0.0487183, max_w: 1.04901
mbar: 0.922636, omega: 0.0621668, max_w: 1.06321
mbar: 0.922636, omega: 0.0621668, max_w: 1.06321
mbar: 0.922636, omega: 0.0621668, max_w: 1.06321
mbar: 0.921098, omega: 0.0581553, max_w: 1.05896
mbar: 0.91749, omega: 0.014624, max_w: 1.01386
mbar: 0.920365, omega: 0.00829001, max_w: 1.00745
mbar: 0.920621, omega: 0.00447146, max_w: 1.00361
mbar: 0.92, omega: 0.018477, max_w: 1.01776
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920119, omega: 0.0114553, max_w: 1.01064
mbar: 0.924755, omega: 0.0364839, max_w: 1.03624
mbar: 0.920403, omega: 0.0182646, max_w: 1.01754
mbar: 0.922831, omega: 0.0667673, max_w: 1.06811
Progress: 24.9987%
Progress: 24.9987% completed
mbar: 0.920961, omega: 0.00688951, max_w: 1.00603
mbar: 0.918788, omega: 0.00261753, max_w: 1.00175
mbar: 0.919918, omega: 0.00107164, max_w: 1.0002
mbar: 0.919219, omega: 0.00305326, max_w: 1.00219
mbar: 0.919602, omega: 0.016437, max_w: 1.01569
mbar: 0.920072, omega: 0.0245442, max_w: 1.02395
mbar: 0.92049, omega: 0.00413622, max_w: 1.00327
mbar: 0.92306, omega: 0.0474381, max_w: 1.04766
mbar: 0.920197, omega: 0.0177077, max_w: 1.01698
mbar: 0.919142, omega: 0.0366815, max_w: 1.03646
mbar: 0.922005, omega: 0.0613617, max_w: 1.06235
mbar: 0.921304, omega: 0.0576098, max_w: 1.05838
mbar: 0.919104, omega: 0.00819013, max_w: 1.00735
